molecule_id,taste
test_0,0
test_1,2
test_2,0
test_3,6
test_4,1
test_5,0
test_6,0
test_7,0
test_8,6
test_9,0
test_10,0
test_11,6
test_12,0
test_13,0
test_14,0
test_15,6
test_16,3
test_17,0
test_18,0
test_19,0
test_20,6
test_21,6
test_22,3
test_23,6
test_24,6
test_25,0
test_26,3
test_27,0
test_28,3
test_29,6
test_30,6
test_31,3
test_32,0
test_33,0
test_34,6
test_35,6
test_36,0
test_37,1
test_38,1
test_39,0
test_40,0
test_41,0
test_42,6
test_43,0
test_44,0
test_45,6
test_46,0
test_47,0
test_48,0
test_49,0
test_50,6
test_51,6
test_52,6
test_53,6
test_54,6
test_55,0
test_56,6
test_57,0
test_58,0
test_59,6
test_60,0
test_61,0
test_62,0
test_63,0
test_64,6
test_65,6
test_66,7
test_67,0
test_68,7
test_69,7
test_70,0
test_71,0
test_72,0
test_73,6
test_74,6
test_75,6
test_76,6
test_77,6
test_78,0
test_79,0
test_80,0
test_81,6
test_82,0
test_83,0
test_84,0
test_85,0
test_86,6
test_87,6
test_88,0
test_89,0
test_90,0
test_91,0
test_92,7
test_93,0
test_94,0
test_95,6
test_96,6
test_97,0
test_98,0
test_99,3
test_100,6
test_101,0
test_102,6
test_103,6
test_104,8
test_105,3
test_106,0
test_107,1
test_108,6
test_109,0
test_110,6
test_111,8
test_112,6
test_113,6
test_114,3
test_115,3
test_116,6
test_117,6
test_118,6
test_119,1
test_120,0
test_121,6
test_122,3
test_123,3
test_124,0
test_125,0
test_126,6
test_127,0
test_128,5
test_129,0
test_130,0
test_131,7
test_132,0
test_133,0
test_134,6
test_135,7
test_136,6
test_137,6
test_138,6
test_139,0
test_140,0
test_141,0
test_142,6
test_143,0
test_144,6
test_145,6
test_146,0
test_147,6
test_148,0
test_149,1
test_150,0
test_151,3
test_152,6
test_153,6
test_154,0
test_155,0
test_156,6
test_157,6
test_158,0
test_159,0
test_160,7
test_161,8
test_162,5
test_163,6
test_164,3
test_165,6
test_166,3
test_167,6
test_168,6
test_169,6
test_170,0
test_171,4
test_172,6
test_173,3
test_174,6
test_175,6
test_176,7
test_177,6
test_178,6
test_179,7
test_180,7
test_181,3
test_182,6
test_183,0
test_184,6
test_185,0
test_186,0
test_187,6
test_188,6
test_189,4
test_190,1
test_191,6
test_192,0
test_193,0
test_194,0
test_195,6
test_196,0
test_197,0
test_198,0
test_199,6
test_200,6
test_201,6
test_202,6
test_203,0
test_204,6
test_205,0
test_206,6
test_207,3
test_208,6
test_209,0
test_210,0
test_211,0
test_212,6
test_213,7
test_214,0
test_215,0
test_216,0
test_217,0
test_218,0
test_219,0
test_220,0
test_221,0
test_222,6
test_223,8
test_224,6
test_225,0
test_226,0
test_227,0
test_228,0
test_229,6
test_230,0
test_231,0
test_232,3
test_233,8
test_234,1
test_235,0
test_236,3
test_237,0
test_238,8
test_239,0
test_240,0
test_241,6
test_242,0
test_243,0
test_244,6
test_245,0
test_246,2
test_247,6
test_248,0
test_249,0
test_250,8
test_251,0
test_252,0
test_253,0
test_254,3
test_255,6
test_256,6
test_257,0
test_258,0
test_259,0
test_260,0
test_261,6
test_262,6
test_263,0
test_264,0
test_265,6
test_266,0
test_267,6
test_268,0
test_269,0
test_270,6
test_271,0
test_272,6
test_273,6
test_274,3
test_275,3
test_276,3
test_277,5
test_278,0
test_279,6
test_280,0
test_281,6
test_282,0
test_283,0
test_284,6
test_285,0
test_286,6
test_287,0
test_288,0
test_289,6
test_290,3
test_291,0
test_292,6
test_293,6
test_294,0
test_295,6
test_296,6
test_297,0
test_298,6
test_299,6
test_300,6
test_301,0
test_302,0
test_303,3
test_304,0
test_305,0
test_306,0
test_307,0
test_308,6
test_309,0
test_310,0
test_311,3
test_312,6
test_313,6
test_314,6
test_315,0
test_316,0
test_317,0
test_318,3
test_319,0
test_320,0
test_321,6
test_322,7
test_323,3
test_324,0
test_325,0
test_326,6
test_327,6
test_328,6
test_329,0
test_330,0
test_331,0
test_332,3
test_333,0
test_334,0
test_335,0
test_336,6
test_337,6
test_338,6
test_339,7
test_340,0
test_341,6
test_342,3
test_343,6
test_344,6
test_345,0
test_346,0
test_347,0
test_348,6
test_349,0
test_350,0
test_351,6
test_352,6
test_353,0
test_354,0
test_355,0
test_356,0
test_357,6
test_358,0
test_359,6
test_360,6
test_361,3
test_362,0
test_363,0
test_364,0
test_365,6
test_366,6
test_367,6
test_368,0
test_369,3
test_370,0
test_371,3
test_372,3
test_373,0
test_374,0
test_375,0
test_376,6
test_377,6
test_378,0
test_379,0
test_380,7
test_381,0
test_382,6
test_383,6
test_384,0
test_385,0
test_386,6
test_387,6
test_388,7
test_389,0
test_390,6
test_391,0
test_392,7
test_393,0
test_394,0
test_395,6
test_396,0
test_397,6
test_398,0
test_399,7
test_400,0
test_401,6
test_402,6
test_403,7
test_404,7
test_405,6
test_406,0
test_407,6
test_408,0
test_409,0
test_410,3
test_411,6
test_412,2
test_413,0
test_414,6
test_415,3
test_416,6
test_417,0
test_418,1
test_419,5
test_420,6
test_421,0
test_422,0
test_423,6
test_424,3
test_425,0
test_426,6
test_427,6
test_428,8
test_429,0
test_430,0
test_431,7
test_432,6
test_433,0
test_434,0
test_435,0
test_436,0
test_437,6
test_438,7
test_439,6
test_440,3
test_441,6
test_442,6
test_443,6
test_444,0
test_445,6
test_446,6
test_447,6
test_448,7
test_449,3
test_450,6
test_451,6
test_452,6
test_453,3
test_454,0
test_455,6
test_456,0
test_457,3
test_458,0
test_459,1
test_460,8
test_461,6
test_462,6
test_463,4
test_464,8
test_465,0
test_466,0
test_467,8
test_468,0
test_469,0
test_470,3
test_471,0
test_472,6
test_473,0
test_474,6
test_475,0
test_476,0
test_477,0
test_478,0
test_479,6
test_480,6
test_481,6
test_482,6
test_483,0
test_484,6
test_485,6
test_486,0
test_487,0
test_488,7
test_489,0
test_490,0
test_491,0
test_492,6
test_493,0
test_494,6
test_495,0
test_496,6
test_497,6
test_498,6
test_499,0
test_500,0
test_501,0
test_502,0
test_503,6
test_504,6
test_505,6
test_506,0
test_507,0
test_508,0
test_509,0
test_510,0
test_511,0
test_512,0
test_513,0
test_514,0
test_515,3
test_516,6
test_517,0
test_518,6
test_519,6
test_520,3
test_521,6
test_522,3
test_523,0
test_524,0
test_525,6
test_526,2
test_527,0
test_528,0
test_529,0
test_530,0
test_531,0
test_532,0
test_533,0
test_534,5
test_535,3
test_536,6
test_537,3
test_538,6
test_539,0
test_540,0
test_541,6
test_542,0
test_543,0
test_544,6
test_545,0
test_546,6
test_547,6
test_548,8
test_549,5
test_550,0
test_551,0
test_552,0
test_553,0
test_554,0
test_555,0
test_556,0
test_557,3
test_558,0
test_559,0
test_560,6
test_561,7
test_562,0
test_563,6
test_564,0
test_565,0
test_566,2
test_567,6
test_568,0
test_569,0
test_570,3
test_571,0
test_572,0
test_573,6
test_574,7
test_575,0
test_576,0
test_577,6
test_578,3
test_579,0
test_580,6
test_581,6
test_582,6
test_583,3
test_584,0
test_585,6
test_586,6
test_587,8
test_588,0
test_589,6
test_590,7
test_591,0
test_592,0
test_593,0
test_594,7
test_595,0
test_596,7
test_597,6
test_598,0
test_599,0
test_600,3
test_601,0
test_602,0
test_603,6
test_604,2
test_605,6
test_606,0
test_607,0
test_608,0
test_609,6
test_610,6
test_611,6
test_612,6
test_613,6
test_614,6
test_615,0
test_616,6
test_617,3
test_618,0
test_619,0
test_620,0
test_621,6
test_622,1
test_623,6
test_624,6
test_625,0
test_626,0
test_627,6
test_628,6
test_629,0
test_630,6
test_631,0
test_632,7
test_633,2
test_634,6
test_635,0
test_636,0
test_637,6
test_638,6
test_639,0
test_640,0
test_641,6
test_642,6
test_643,0
test_644,0
test_645,0
test_646,3
test_647,0
test_648,0
test_649,6
test_650,0
test_651,0
test_652,0
test_653,0
test_654,0
test_655,0
test_656,6
test_657,6
test_658,6
test_659,7
test_660,0
test_661,3
test_662,0
test_663,0
test_664,0
test_665,0
test_666,8
test_667,8
test_668,0
test_669,0
test_670,0
test_671,6
test_672,6
test_673,0
test_674,6
test_675,0
test_676,0
test_677,2
test_678,6
test_679,6
test_680,0
test_681,0
test_682,0
test_683,3
